Genes	TCGA-24-1553-01A	TCGA-36-1569-01A	TCGA-24-1603-01A	TCGA-24-1557-01A	TCGA-24-1104-01A	TCGA-61-1724-01A	TCGA-24-1464-01A	TCGA-25-1318-01A	TCGA-24-1105-01A	TCGA-24-2023-01A	TCGA-29-1776-01A	TCGA-25-2409-01A	TCGA-25-1329-01A	TCGA-61-1911-01A	TCGA-24-2298-01A	TCGA-13-1489-01A	TCGA-61-1914-01A	TCGA-24-1431-01A	TCGA-24-1416-01A	TCGA-29-1696-01A	TCGA-24-1604-01A	TCGA-29-1711-01A	TCGA-36-1570-01A	TCGA-59-2348-01A	TCGA-25-1631-01A	TCGA-24-2033-01A	TCGA-24-1103-01A	TCGA-25-1322-01A	TCGA-24-1552-01A	TCGA-25-1321-01A	TCGA-59-2352-01A	TCGA-61-1918-01A	TCGA-25-1313-01A	TCGA-13-1511-01A	TCGA-24-2267-01A	TCGA-25-2400-01A	TCGA-29-1763-01A	TCGA-61-2008-01A	TCGA-29-1690-01A	TCGA-24-2024-01A	TCGA-29-1688-01A	TCGA-29-2427-01A	TCGA-13-1507-01A	TCGA-29-1769-01A	TCGA-24-1428-01A	TCGA-30-1866-01A	TCGA-23-1123-01A	TCGA-25-2399-01A	TCGA-61-1907-01A	TCGA-24-2261-01A	TCGA-61-1995-01A	TCGA-13-2060-01A	TCGA-24-2290-01A	TCGA-13-1497-01A	TCGA-24-2288-01A	TCGA-13-1404-01A	TCGA-24-1422-01A	TCGA-29-1710-01A	TCGA-29-1766-01A	TCGA-13-1483-01A	TCGA-13-1410-01A	TCGA-13-1488-01A	TCGA-29-1770-01A	TCGA-29-1693-01A	TCGA-30-1891-01A	TCGA-24-1430-01A	TCGA-25-1628-01A	TCGA-29-1705-01A	TCGA-13-1499-01A	TCGA-36-1580-01A	TCGA-25-1320-01A	TCGA-61-1919-01A	TCGA-24-1562-01A	TCGA-29-1785-01A	TCGA-23-1122-01A	TCGA-25-1635-01A	TCGA-24-1435-01A	TCGA-24-2289-01A	TCGA-13-1485-01A	TCGA-36-1576-01A	TCGA-29-2414-01A	TCGA-29-1777-01A	TCGA-13-1501-01A	TCGA-13-1495-01A	TCGA-13-1487-01A	TCGA-24-1467-01A	TCGA-24-2027-01A	TCGA-25-1312-01A	TCGA-24-2020-01A	TCGA-29-1774-01A	TCGA-61-1910-01A	TCGA-29-1762-01A	TCGA-24-1558-01A	TCGA-61-1741-01A	TCGA-13-1492-01A	TCGA-36-1571-01A	TCGA-29-1697-01A	TCGA-61-1900-01A	TCGA-61-2088-01A	TCGA-13-1409-01A	TCGA-36-1581-01A	TCGA-24-1923-01A	TCGA-24-1550-01A	TCGA-24-1563-01A	TCGA-25-1630-01A	TCGA-25-1323-01A	TCGA-25-1623-01A	TCGA-36-1577-01A	TCGA-25-2396-01A	TCGA-24-1474-01A	TCGA-25-1319-01A	TCGA-25-2404-01A	TCGA-29-1768-01A	TCGA-59-2351-01A	TCGA-24-1551-01A	TCGA-24-1544-01A	TCGA-24-1565-01A	TCGA-25-1316-01A	TCGA-09-2056-01A
GSTM1	0.2665	0.495	0.158	-0.299	-0.169	-1.356	-0.277	-2.035	-1.74	0.324	-0.111	0.041	-0.823	-2.2675	-0.347	-1.712	0.539	-2.415	-1.777	-0.005	-0.478	1.035	-0.589	-2.205	-1.828	0.145	0.044	0.555	-3.24	-1.11	-1.504	-1.358	-1.444	0.645	-1.86	1.08	0.5395	-0.86505	-2.605	0.274	-0.0315	-0.644	-0.746	-1.821	-1.78	-1.36	1.15	-0.342	-2.3275	0.675	-1.425	0.605	-1.7225	-2.345	-0.0846	0.535	-1.01217	-3.015	-1.937	-1.995	-0.434	0.0272	-0.326	-1.8475	-1.436	-2.5175	-1.1855	-2.235	0.514	-1.326	-0.237	0.171	0.2685	-0.185	-1.718	-1.71	-0.964415	0.211	-0.573	0.215	-0.112	-2.05	-0.641	-1.13	-1.371	0.429	-0.139	-1.581	-0.32	-1.45	-3.065	-1.5405	-1.854	0.0335	-1.664	-2.785	-0.749	1.01	-1.745	1.435	-0.16	2.38	0.718	-1.01	0.804	0.665	-1.4915	-1.344	-1.82	-1.775	0.207	-1.0515	-2.076	-2.165	-1.5	1.335	0.845	0.0357	-1.921
SPINT2	-0.7335	-0.763	-0.653	0.405	-0.0762	0.157	-1.164	0.05	0.0996	0.53	-0.337	0.3645	0.393	0.04985	0.073	-0.7925	0.34	-0.06792	-0.529	0.099	-0.55	-0.0945	0.512	0.381	-0.0924	-0.0357	0.164	0.808	1.15	0.353	0.208	-0.711	0.0144	0.371	-0.9	-0.431	0.8645	-0.7325	-1.324	-0.004	0.348	-0.06	-0.1305	-0.428	1.03	0.466	-2.45	-0.1549	0.0398	2.056	-0.7635	-0.794	-0.1995	-0.08008	-0.62	-0.217	-0.921	-1.214	-0.352	-0.437	0.308	-1.18	0.091	-0.1955	-1.184	-0.17275	-0.2781	0.197	-0.875	-0.616	-0.451	-0.573	-0.2245	-0.0886	0.778	0.545	0.0285	0.153	-0.722	-0.888	-1.13	-0.233	0.332	-0.0954	-0.454	0.198	-0.498	1.266	0.659	-0.363	-0.1211	0.326	1.586	0.6865	0.559	0.775	0.2605	-0.258	-1.254	-1.324	-0.367	-0.633	-0.0376	-0.675	-0.646	0.136	0.345	-0.512	-1.004	-0.535	1.06	1.258	-1.597	-0.502	0.524	2.246	-1.204	-0.733	-0.941
ATIC	-0.292475	0.04775	0.106	-0.37125	-0.0265	0.12275	-0.07435	-0.22825	-0.0914	-0.0682	-0.281	-0.300125	-0.46725	-0.345625	0.59975	1.195875	-0.842	0.20075	0.14375	0.50675	0.581	-0.68325	-0.12395	-0.36425	0.04875	-0.12645	-0.299125	0.00165	-0.15	0.481	-0.27325	0.22975	-0.25225	-0.07055	0.189	0.137	0.341375	-0.635625	0.01375	0.505375	-0.038275	0.05175	0.05075	-0.49125	-0.79	-0.217	0.365	-0.25225	-0.273125	-0.08891	0.328375	0.09475	-0.647125	-0.27425	-0.228	-0.68525	0.14375	-0.11765	0.23875	0.52175	-0.0967	-0.448	-0.10534	-0.465625	-0.18135	-0.162425	-0.379125	0.07075	-0.499	-0.07965	-0.233	0.141	0.283375	-0.216	-0.25525	-0.387	0.061675	-0.349625	-0.18515	-0.373	0.173	-0.0956	-0.02175	-0.143	-0.04035	-0.234	-0.756	-0.19155	-0.363	0.0596	0.53875	0.009875	0.19675	-0.143475	-0.41225	0.02075	0.066375	-0.707	0.15675	0.68175	-0.22	-0.0649	-0.302	-0.503	0.285	-0.0998	-0.326625	-0.19125	-0.24825	-0.40525	-0.00763	-0.344625	-0.304825	-0.39225	-0.188	0.03675	0.18875	0.339	0.06275
MSN	0.0721	0.1636	-0.126	-0.4144	0.217	0.3156	-0.0014	0.04143	-0.549	0.143	0.0383	0.0493	0.4766	0.13425	0.1676	-0.01105	0.414	0.0209	-0.0424	-0.0704	0.0658	0.0919	0.2866	0.3976	-0.0654	-0.1014	-0.0927	0.0898	0.225	-0.296	0.2946	0.0804	0.1311	0.4026	0.134	-0.0305	-0.20195	0.0046	0.3576	-0.1777	0.3123	0.5086	0.1466	0.0011	0.349	-0.211	-0.224	0.1343	0.079975	0.6086	-0.2027	0.0601	-0.2047	-0.3054	0.518	0.0077	0.0794	0.7326	0.1198	0.2696	0.0262	0.286	0.6576	0.3793	0.1457	0.2338	0.2938	0.2966	0.333	0.0825	0.301	0.0585	0.09555	0.511	0.2656	0.457	0.2658	0.0926	0.1596	0.287	0.0765	0.227	0.3186	0.547	-0.0422	-0.42	-0.124	-0.5494	-0.515	-0.303	-0.7194	-0.1672	-0.4604	-0.6202	-0.1604	-0.7604	-0.8102	-0.436	-0.7964	-0.5814	-0.112	0.365	-0.0545	0.277	0.294	-0.3744	0.36765	-0.5324	0.0727	-0.4994	-0.0524	0.2128	0.5823	-0.4494	0.175	-0.8704	-0.2874	-0.17	0.05177
SUPT5H	0.07485825	-0.1430835	0.828	-0.0307835	-0.511	-0.1436835	-0.2062835	-0.0014835	0.098	-0.16	-0.34	-0.13844175	0.0527165	0.08745825	-0.0613835	-0.04149175	-0.0503	0.1107165	-0.1776835	-0.1225835	-0.205	-0.2152835	-0.1315835	-0.0112835	0.3447165	0.0917165	-0.29414175	0.1557165	1.76	0.13	-0.0037835	-0.0430835	-0.1677835	-0.0926735	0.294	-0.266	0.53335825	-0.30164175	-0.3742835	-0.06539175	-0.15729175	-0.2422835	0.0847165	-0.0845835	0.318	0.521	0.0926	-0.1607835	-0.14678825	1.2917165	-0.01539175	-0.1920835	0.01690825	0.0047165	0.0373	-0.1865835	-0.5562835	-0.1807835	-0.2382835	-0.6372835	0.1087165	-0.427	-0.2332835	-0.22264175	-0.4002835	-0.40964175	-0.10441175	0.1827165	-0.138	-0.2992835	-0.0238	-0.241	0.04395825	-0.0965	-0.1642835	0.754	-0.67214175	-0.23429175	-0.3342835	0.0803	-0.00211	-0.305	-0.2422835	0.0699	0.0737165	-0.0253	0.728	0.5327165	0.487	0.269	0.2467165	0.37885825	1.3917165	1.00435825	0.7127165	0.5397165	0.47285825	0.324	-0.0722835	0.2547165	-0.437	-0.000464	0.195	-0.343	-0.319	0.1297165	0.63385825	0.0877165	-0.1009535	0.1637165	-0.471	0.63085825	-0.62014175	-0.1567835	-0.584	0.7027165	-0.2122835	0.18	-0.1751835
ASMTL	0.41652675	-0.2089465	-0.423	0.5980535	0.495	-0.2849465	-0.1429465	-0.2299465	-0.417	-0.0986	0.14	0.31552675	0.1720535	-0.26997325	0.0994535	0.01322175	-0.297	0.0685535	0.5140535	0.2720535	0.679	0.8830535	-0.1679465	-0.0367465	0.1740535	-0.4399465	0.38702675	0.4530535	0.0108	-0.306	-0.2469465	0.2570535	0.0240535	0.0067535	0.387	-0.0313	-0.21447325	0.46202675	0.2890535	-0.25547325	0.62702675	0.2110535	0.1346535	1.1350535	0.619	-0.196	-0.266	-0.0749465	0.04362675	-0.0020465	-0.00953175	-0.1799465	0.00252675	0.9110535	0.14	0.2930535	0.1580535	-0.2869465	-0.1009465	-0.0153465	0.2390535	-0.0978	0.5260535	-0.26697325	0.3140535	0.28502675	-0.06212325	0.0158535	0.2	-0.1519465	-0.182	-0.315	0.08537675	-0.173	0.6000535	0.254	0.05528675	-0.04392325	0.0552705	-0.0489	-0.0771	-0.0598	0.0810535	-0.357	-0.2079465	0.537	-0.513	-0.2629465	-0.78	-0.245	-0.0388465	0.25652675	-0.2259465	-0.20137325	-0.5489465	-0.6799465	-0.25747325	0.174	-0.1819465	-0.0154465	0.618	-0.499	-0.207	-0.236	0.778	-0.2319465	-0.24893425	0.9110535	0.2370535	0.0509935	0.282	0.45952675	0.75952675	-0.4799465	0.0216	-0.3379465	0.2600535	0.264	-0.1549465
TBCB	0.0625875	-0.173425	-0.0349	-0.097125	-0.408	0.240575	-0.510425	0.144575	0.48	0.235	-0.37	-0.2179625	0.852575	0.0212875	0.109575	-0.3047125	-0.0919	0.387575	0.189575	-0.000525	-0.387	0.001675	-0.277425	-0.124625	0.370575	0.293575	0.0204875	0.722575	1.24	-0.0481	-0.197425	-0.007025	-0.267425	0.706575	-0.206	-0.226	0.4432875	0.0482875	-0.863425	0.0327875	0.1067375	-0.361425	-0.254425	-0.267425	0.373	1.1	-0.568	-0.596425	-0.3817125	1.727575	0.6357875	-0.279425	0.0307875	-0.463425	-0.262	-0.356425	-0.024625	0.084575	-0.199425	-0.651425	0.465575	-0.0679	0.388575	0.1629875	-0.434425	-0.2179125	0.3867875	0.553575	-0.329	-0.456425	-0.072	-0.184	0.0753375	-0.00463	-0.295425	0.595	-0.5832125	-0.1827125	0.013475	-0.298	0.0816	0.0966	0.039575	0.268	-0.347425	-0.399	0.214	0.495575	-0.759	0.441	0.426575	1.0787875	0.097575	1.3287875	0.609575	0.386575	0.2697875	0.211	-0.575425	0.863575	-0.712	0.132	0.416	-0.138	0.0935	0.204575	-0.0187125	-0.170425	-0.321425	0.056575	-0.273	-0.0627125	-0.5712125	-0.316425	-0.361	1.577575	-0.285425	-0.47	-0.080025
PROSC	-0.0999	-0.1469	0.0445	-0.0259	-0.0875	-0.1259	-0.0419	0.5651	-0.162	-0.202	-0.033	-0.45445	0.6171	0.1391	0.074358	0.10855	-0.139	-0.3629	-0.0279	0.5281	0.595	-0.6509	-0.0989	-0.5179	0.2801	0.1217	0.23705	0.073842	-0.233	-0.552	0.4991	-0.3819	-0.1189	0.1327	0.659	0.371	-0.0051	-0.12995	0.2041	0.32155	0.1505	0.2261	-0.1819	0.2371	0.0655	-0.0731	0.627	0.2421	-0.22795	-0.5289	0.20885	-0.0339	0.06805	0.113	-0.0721	-0.1479	0.2731	-0.0259	0.0223	0.0457	0.0541	0.0662	-0.0489	0.26405	0.3911	0.08695	0.57505	-0.5309	-0.119	-0.0749	-0.215	-0.267	0.36005	0.38	-0.1629	-0.0769	-0.17595	-0.12845	0.2401	0.147	0.215	0.067	0.0091	-0.394	0.3811	-0.0881	-0.0119	0.1328	0.142	-0.0469	0.4721	0.04535	-0.0949	-0.24295	0.7001	0.0847	-0.12545	0.209	0.4371	0.9751	-0.0427	0.143	0.0758	0.124	-0.0548	0.0277	0.44805	0.3361	-0.1459	-0.4049	0.159	0.154	0.13765	-0.1799	0.0755	1.3141	0.1204	0.373	-0.3759
GALE	-0.53465	-1.3025	0.92	-0.1545	0.767	-0.4125	-0.7455	0.5875	1.58	0.702	-0.354	0.78325	0.5065	1.11875	-0.5925	-0.1056	0.675	0.6555	-1.2175	-0.2711	-0.457	-0.1525	-0.7275	-1.0545	-0.29721	-0.2767	-0.77975	0.0995	0.102	0.347	-0.8335	0.2175	-0.5025	0.1675	0.436	-0.673	-0.17175	-0.3551	-0.0985	-0.63575	-0.63725	-0.3833	-0.2717	0.8075	-0.738	0.988	0.0809	0.3495	0.10225	-0.9595	0.50325	0.0395	0.02385	-0.1565	-0.966	-0.1265	-0.4835	-0.0065	-0.0895	0.3065	-0.5075	-0.231	-0.5655	0.27925	-0.7695	-0.72075	-0.2484	-0.5265	-0.34	-0.4985	-0.599	-0.417	0.09005	-0.408	-0.3571	-0.152	-0.63975	0.31055	0.1375	-0.113	-1.33	-0.594	-0.0915	0.181	-0.6405	0.209	-0.467	0.8175	-1.09	-0.555	-0.8245	-0.90925	-0.1145	-0.39025	-0.5015	-0.0155	-0.05035	-0.935	0.8975	0.3135	-0.262	0.509	0.399	-0.286	0.233	-0.5745	0.28425	-0.5775	-0.3135	0.7375	-0.131	-0.4772	-0.46725	-0.6495	-0.738	0.8175	-0.8005	-0.781	-0.0475
PODXL	-0.3410825	0.308155	0.776	-0.462845	-0.238	0.802155	-0.390845	0.632155	0.411	0.472	0.317	0.2790775	-0.181145	-0.7319225	-0.059845	-1.0789225	-0.275	0.356155	0.380155	-0.451845	1.09	-0.684845	0.079155	1.612155	0.010155	1.512155	-0.6654225	-0.471845	0.165	0.264	0.368155	-0.892845	-0.306545	-1.084845	-0.176	0.174	-0.3539225	-0.4989225	-0.383845	0.8015775	-0.9829225	-0.612845	-0.030845	0.125155	-0.581	0.621	0.342	0.062155	0.3725775	-0.247745	0.5445775	-0.450845	-0.6124225	-1.277845	0.267	-0.569845	-0.396845	-0.708845	-0.589845	-1.477845	0.752155	-0.944	0.270155	0.8020775	0.397155	-0.0471725	0.0420775	0.506155	-0.267	0.229155	-0.249	-0.913	-0.0059225	-1.46	-0.877845	0.0742	-0.8469225	-0.7424225	0.538155	-1.11	0.198	0.207	0.192155	-0.261	-1.199845	0.21	-0.646	0.334155	0.114	-0.522	0.802155	0.3775775	-0.143845	0.0990775	-0.616845	0.882155	0.0763775	1.22	0.048155	0.495155	-1.49	-0.157	-0.935	-0.302	-0.351	0.283155	-0.0084225	0.289155	-0.803845	-1.607845	-0.777	-0.2353225	-1.3424225	0.387155	-0.624	-0.634845	-0.545845	-0.603	-0.263335
CYB5R1	0.58405	-0.0209	0.196	0.0601	0.0726	0.6631	0.3181	0.5841	-0.403	-0.00945	-0.625	0.71755	-0.3139	0.71205	-0.2589	-0.23897	1.09	-0.5159	-0.2076	0.5161	0.324	1.1311	0.5031	0.6821	-0.1643	-0.4809	-0.38845	-0.1515	0.313	0.17	0.2691	0.1961	0.0511	0.3401	0.205	-0.765	-0.17215	0.34005	0.6771	0.98555	-0.1026	0.0771	-0.2519	-0.3489	0.263	0.369	-0.137	-0.0439	-0.1857	-0.4479	-0.39045	0.0641	-0.16995	-0.14422	0.0175	-0.5369	0.2181	-0.0389	-0.1828	-0.5799	-0.4559	-0.0282	-0.2809	-0.06765	-0.3989	-0.07195	-0.25725	-0.3859	-0.576	0.1901	-0.0249	-0.276	-0.04445	-0.222	-0.3909	-0.41	0.15455	-0.02145	0.6701	-0.288	-0.426	0.273	-0.1628	-0.199	-0.5689	0.975	-0.356	-0.1225	-0.741	-0.709	-0.0349	-0.42745	-0.3929	-0.60295	-0.2569	-0.3599	-0.53195	-0.672	0.9411	-0.3989	0.152	-0.161	-0.639	-0.0654	0.133	-0.5749	-0.08545	-0.6309	0.3261	-0.2709	0.383	-0.02938	-0.06645	-0.041	0.155	0.4611	0.9911	0.109	-0.0099
NUDT5	-0.193325	-0.00275	0.688	0.16335	-0.182	1.04235	-0.33065	-0.08365	-0.401	-0.0108	-0.173	-0.147325	-0.17665	0.136575	0.25435	-0.165325	-0.44	-0.16465	0.22435	-0.10765	0.0914	-0.04515	-0.26765	0.41735	0.26835	-0.28965	0.147675	0.25035	-0.154	0.567	0.17735	-0.05595	-0.72165	0.75435	0.009	-0.32	-0.029025	-0.995825	-1.08765	-0.585825	-0.090475	0.58735	-0.05945	0.63035	0.107	0.641	0.467	-0.05855	-0.068165	-0.02165	0.313675	0.68935	-0.124825	0.30735	0.613	-0.19765	-0.24965	-0.36565	0.31635	-0.04685	-0.30965	0.101	-0.02535	0.091745	0.03107	-0.182325	0.144525	0.17635	-0.229	0.76935	-0.12	0.0758	0.161775	0.178	-0.25565	-0.263	-0.716825	-0.273825	-0.18465	-0.427	0.681	0.411	-0.28165	-0.371	0.06055	0.183	-0.625	0.03069	-0.832	0.256	-0.38765	0.320675	0.22435	0.525675	0.70135	0.74635	-0.570325	-0.69	0.10325	1.16235	0.673	-0.568	0.0744	0.0236	-0.317	-0.53165	0.122475	-0.53465	-0.39865	0.73735	-0.132	-0.091325	-0.371325	0.12035	-0.304	0.37435	0.31835	-0.136	0.40035
SMPDL3B	0.362175	-0.05255	0.756	-0.40765	-0.307	-0.41665	-0.61265	0.02435	0.516	-0.669	-0.596	-0.607825	-0.11835	0.412675	-0.16515	0.176825	-0.208	-0.33665	-0.25665	-1.10365	-0.537	0.05035	-1.00565	-0.42665	-1.22965	0.22035	-0.759325	-0.33765	-0.0945	0.187	-0.38665	0.12835	-0.88265	-0.36165	0.37	-0.737	0.792175	-0.351325	-0.85665	0.071525	-0.574325	-0.27365	0.84535	0.32435	0.19	0.355	0.00204	-0.10855	0.492175	-0.36065	0.398675	0.10635	-0.460325	-0.55065	0.164	0.47335	-0.41265	0.85435	0.81335	0.79435	-0.37365	0.0341	0.28435	-0.622325	-0.52265	-0.355325	0.375175	-0.20655	0.123	0.41335	0.131	-0.378	0.386175	-0.155	0.52435	-0.0157	-0.463325	0.228675	-0.82165	-0.0176	-0.333	0.853	-0.28765	-0.221	-0.05175	0.866	-0.314	0.14735	-0.209	-0.733	0.04735	0.115675	0.93035	0.927675	-0.23875	0.18635	0.845675	0.437	0.81035	0.23735	0.345	-1.41	-0.758	-0.361	-0.919	-0.71065	-0.305125	-0.27965	-0.59165	-0.39065	-0.547	-0.411375	-0.676325	-0.40065	-0.902	0.20235	0.67535	-0.054	-0.00365
NSF	-0.03752	0.1844	-0.0261	-0.1482	0.118	0.4254	0.0062	0.2564	-0.203	0.225	-0.377	-0.1703	0.0326	0.5252	0.0344	-0.2053	0.53	0.3754	0.1914	-0.1392	-0.228	0.4014	0.3094	0.0413	-0.0825	-0.1132	-0.029645	-0.2996	0.0116	0.157	-0.1766	-0.2896	0.0211	-0.2246	0.378	0.065	-0.3258	-0.0163	-0.0967	-0.2178	-0.0652	-0.04994	0.1354	-0.2896	-0.064	0.268	-0.085	-0.2376	-0.052905	0.1834	-0.1973	0.2844	-0.1818	-0.1926	0.336	-0.3836	0.2614	0.2974	-0.035	-0.1806	0.0924	0.159	-0.0354	0.09975	-0.1946	-0.1893	0.05745	0.0104	0.105	0.0544	-0.00298	0.112	-0.1316	0.187	-0.1536	-0.0938	0.2217	0.1942	-0.04726	0.0956	-0.27	-0.12	-0.0357	-0.215	-0.0002	0.0182	0.192	-0.0161	-0.524	-0.0707	-0.5676	-0.3453	-0.3206	-0.3053	-0.3686	0.2274	-0.2618	0.386	-0.2966	-0.2976	0.399	-0.132	0.0691	0.278	0.103	-0.1268	0.3757	0.0864	0.0384	-0.0695	0.233	-0.0578	0.048	0.4604	-0.129	-0.2316	0.1784	-0.211	0.1164
PAICS	-0.358725	0.19695	-0.0321	0.61755	-0.0893	0.57655	0.27755	0.03685	-0.262	0.21	0.281	0.054275	-0.25845	-0.688725	0.38955	-0.117225	-0.501	0.33755	0.67955	0.44155	0.179	0.04675	0.11005	0.05625	-0.45345	0.29255	0.1680055	-0.48345	-0.0188	0.141	-0.76545	0.32355	0.17235	0.11065	0.606	-0.399	0.304775	0.279275	-0.05545	0.313275	0.538275	-0.09445	-0.24545	0.42255	0.97	-0.415	-0.172	0.17065	0.374275	1.27755	0.059325	0.40455	0.258375	0.62155	-0.201	0.63255	-0.30545	-0.83445	0.08355	0.82455	-0.19845	-0.198	0.41355	-0.065275	0.89955	0.255775	-0.549225	0.18295	-0.102	-0.46745	-0.0705	0.202	-0.322225	-0.33	-0.25545	-0.263	-0.062155	0.612775	-0.13445	-0.923	0.0324	0.44	0.20545	0.173	0.19185	0.739	-0.41	-0.01945	-0.323	0.36	0.56555	0.165775	0.68955	0.454775	-0.17345	0.10075	0.201575	-0.425	0.51055	-0.66545	0.0616	-0.525	0.299	-0.164	0.135	-0.56945	-0.768225	0.31755	0.10625	0.82155	-0.725	-0.247225	-0.884225	-0.67145	-0.623	0.01755	0.24455	-0.301	0.24955
SCARB2	-0.00325	0.2959	0.122	-0.5041	0.165	0.0629	0.0329	-0.8891	-0.0754	-0.866	1.18	0.2246	-0.2921	-0.31205	-0.3371	-0.56405	0.849	-0.7541	-0.7861	-0.2421	0.323	-0.3811	-0.2661	0.2119	-0.5611	0.2419	-0.66455	0.0129	-0.677	-0.174	0.4449	-0.0131	-0.0427	-0.7341	0.083	0.296	0.27295	-0.27905	-0.0755	0.22195	-0.55805	-0.1783	0.2889	-0.4911	-0.736	-0.743	0.803	0.6809	-0.1801	0.9219	-0.3202	0.2079	-0.486	-0.6981	0.0155	-0.09174	0.1029	-0.1473	0.8859	0.0569	0.0819	-0.0448	-0.5461	-0.09755	0.0769	-0.22895	-0.1864	-0.8271	-0.229	0.1119	-0.416	-0.111	-0.49905	-0.695	-0.0575	1.7	0.21395	-0.21955	-0.10149	-0.245	-0.518	-0.22	0.1559	0.0376	-0.3541	-0.307	-0.316	-0.1413	-1.23	0.0966	-0.2811	-0.34705	-0.6921	-0.00855	0.9419	-0.5941	-0.20605	-0.731	0.8039	-0.8691	-0.0769	-0.694	0.277	-0.519	-0.0646	-0.2991	0.32845	-0.7101	-0.2781	-0.6901	1.57	-0.0681	0.003995	-0.6031	0.167	-0.1704	-0.0668	-0.76	0.0629
ABHD14B	0.4330225	1.280045	0.151	-0.277955	0.163	0.258045	0.255045	1.270045	0.109	0.466	0.139	0.3505225	-0.149955	0.4970225	-0.367955	0.7435225	-0.313	0.089345	0.576045	0.727045	0.584	0.175345	1.250045	-0.426955	0.777045	0.575045	-0.1464775	-0.454955	-0.502	-0.0264	-0.518955	0.361045	0.013045	-0.061955	0.444	0.122	-0.1789775	0.3960225	0.672045	1.1025225	0.6750225	0.111195	0.211045	-0.273955	-0.237	-0.207	-0.237	0.104405	0.6655225	0.580045	-0.3234775	-0.208955	-0.4064775	0.013545	0.431	0.555045	0.106335	0.116635	0.126445	0.695045	0.010045	0.413	0.561045	-0.0568275	0.155845	0.0779725	-0.4159775	0.592045	-0.138	0.650045	-0.432	-0.491	-0.0729275	-0.404	-0.061955	-0.397	0.0232175	-0.2604775	0.089345	-0.319	-0.202	0.0346	-0.146955	-0.0428	-0.166955	-0.772	-0.0552	0.025745	-1.44	-0.444	0.334045	-0.8949775	0.388045	-0.7854775	-1.169955	1.160045	-0.1854275	1.44	-0.433955	0.464045	-0.0838	0.0472	-1.6	-0.712	0.257	-0.326955	-0.3899775	-0.919955	0.517045	-0.989955	-0.0757	0.0941225	0.4655225	-0.316955	-0.139	-0.211955	0.746045	0.584	0.382045
2-Mar	-0.486125	-0.10495	-0.531	0.98675	-0.607	-0.38625	-0.51325	-0.65325	-0.264	-1.04	-0.27	-0.585625	0.03875	-0.020725	-0.27825	0.435375	0.249	-0.65525	0.90675	0.76375	0.0799	-1.23325	0.48375	-0.04395	0.76375	-1.20325	0.228975	0.24775	-0.62	-0.0322	0.03875	-0.39425	0.82775	-0.22325	0.0398	0.379	-0.249125	1.213375	1.27675	1.075875	-0.354125	-0.38325	-0.66125	-0.47525	-0.0331	0.0432	-0.373	-0.65125	-0.632125	-0.65125	-0.040125	-0.59825	-2.061625	0.38275	-0.274	0.19375	-0.44025	-0.60525	0.23775	-0.90525	-0.51425	1.37	-0.32325	-0.738625	-0.13495	0.195875	-0.313775	-0.20645	-0.471	-0.31925	-0.545	-0.27	-0.434125	-1.31	-0.25125	-0.0357	-0.727625	-0.041125	1.20675	0.185	0.44	0.544	-0.25225	-0.236	-0.34525	0.245	0.454	0.06175	-0.208	0.608	1.01675	0.560375	0.59175	-0.747625	0.57775	-0.40725	0.361375	0.618	-1.22325	-0.47525	0.483	0.83	-0.421	-1.06	0.163	0.23675	0.610875	1.31675	0.32575	-0.39425	0.0454	0.379375	0.438375	0.06675	0.389	0.20975	-0.18685	1.82	-0.80725
GLDC	0.26675	-0.9165	0.448	-0.8425	0.968	-0.4741	-0.2535	0.9315	-0.312	-1.03	0.0874	1.03075	-0.6073	-0.55925	2.6515	-0.95875	-0.897	0.8215	0.3225	-1.5985	-0.964	-1.7185	0.0635	-0.548	-0.9905	-1.2305	0.22275	0.1825	0.1	1.65	-0.9685	-0.5742	-0.9265	0.3025	0.33	-0.602	-0.10225	-0.52025	-1.4035	-1.04325	-0.40825	0.8715	2.2715	-1.2305	-0.303	0.369	0.0404	-0.0215	-1.65425	-1.2965	-0.23875	-0.5145	-1.02875	-1.3085	0.924	-1.2155	-0.5025	-0.4131	-0.9535	-1.5035	0.7415	-0.201	0.6815	1.15075	-1.5385	-0.44575	0.13475	-0.3195	-0.446	-0.9245	-0.347	-0.7	0.43525	-1.74	0.1705	-1.19	0.28375	-1.42775	-1.0275	-0.771	-0.469	0.0548	-1.3515	-0.235	-1.3425	1.05	-1.46	-0.8485	-0.89	-0.949	-0.6053	-0.078	1.8815	0.31775	-1.5035	0.1945	1.43075	0.607	-1.1305	0.5815	-0.907	-0.69	-1.15	-0.233	-0.256	0.0335	0.79725	-0.2595	-0.3045	-0.3915	0.789	-0.96125	-0.73975	0.0175	-0.166	-0.0865	-1.9785	-1.29	0.9315
